County,total_population,white_total,black_total,aian_total,asian_total,nhopi_total,multiracial_total,State
Harney,7393,6700,77,327,44,1,244,Oregon
Hood River,23382,21819,186,299,413,55,610,Oregon
Jackson,220944,202923,2158,3640,3501,786,7936,Oregon
Jefferson,24658,18710,302,4524,216,58,848,Oregon
Josephine,87487,81254,536,1491,937,244,3025,Oregon
Klamath,68238,60347,635,3393,782,150,2931,Oregon
Lake,7869,7177,58,202,100,16,316,Oregon
Lane,382067,340197,4826,6265,12101,1036,17642,Oregon
Lincoln,49962,44767,467,2016,681,105,1926,Oregon
Linn,129749,119974,1039,2156,1629,286,4665,Oregon
Malheur,30571,28109,513,613,462,68,806,Oregon
Marion,347818,308276,5487,9103,8624,3598,12730,Oregon
Morrow,11603,10779,130,292,69,37,296,Oregon
Multnomah,812855,642519,48863,11785,65672,5574,38442,Oregon
Polk,86085,77351,966,2132,1784,426,3426,Oregon
Sherman,1780,1663,8,51,15,1,42,Oregon
Tillamook,27036,25239,200,422,277,95,803,Oregon
Umatilla,77950,70448,958,3375,896,201,2072,Oregon
Union,26835,24837,222,340,339,362,735,Oregon
Wallowa,7208,6890,33,68,36,10,171,Oregon
Wasco,26682,24271,215,1003,300,191,702,Oregon
Washington,601592,479049,15194,6827,70417,3168,26937,Oregon
Wheeler,1332,1224,3,34,14,3,54,Oregon
Yamhill,107100,97848,1287,2148,2165,268,3384,Oregon
